first_name,last_name,gender,date_of_birth,id_code
Mari,Saar,F,1958-09-04,45809040225
Peeter,Tamm,M,1969-04-05,36904055082
Peeter,Saar,M,1993-03-27,39303275788
Mati,Saar,M,1986-09-10,38609101956
Anna,Tamm,F,1984-06-12,48406124309
Anna,Saar,F,1954-12-04,45412045445
Anna,Tamm,F,2000-08-06,60008068859
Mati,Mets,M,1953-11-04,35311043442
Laura,Tamm,F,1984-02-22,48402222508
Peeter,Mets,M,1997-08-28,39708288539
Mati,Mets,M,2007-02-17,50702174264
Anna,Saar,F,1963-10-23,46310238289
Laura,Saar,F,1963-01-26,46301266327
Laura,Tamm,F,1952-05-23,45205235880
Anna,Saar,F,1984-03-31,48403316043
Jaan,Mets,M,2001-09-25,50109257427
Peeter,Tamm,M,1967-08-18,36708188168
Mari,Mets,F,1964-02-11,46402116491
Jaan,Mets,M,1971-04-24,37104248786
Peeter,Saar,M,1992-07-29,39207295949
Jaan,Tamm,M,1972-04-11,37204114904
Anna,Saar,F,1999-06-21,49906216777
Anna,Mets,F,2004-08-29,60408290165
Peeter,Saar,M,1953-09-22,35309221819
Laura,Saar,F,1954-02-07,45402073664
Peeter,Saar,M,1987-12-10,38712105187
Mari,Tamm,F,1989-01-30,48901307986
Mati,Mets,M,1976-12-14,37612147396
Mati,Tamm,M,1986-07-16,38607162364
Jaan,Tamm,M,1954-03-24,35403245196
Mati,Mets,M,2001-05-23,50105235650
Laura,Tamm,F,1959-12-01,45912015733
Mari,Tamm,F,1978-08-28,47808282971
Mati,Mets,M,1948-06-03,34806038116
Jaan,Saar,M,1971-08-11,37108112557
Peeter,Tamm,M,1952-05-22,35205223671
Peeter,Tamm,M,1979-03-04,37903045235
Mari,Tamm,F,1959-01-06,45901061335
Laura,Tamm,F,1956-01-07,45601075757
Jaan,Tamm,M,2005-01-11,50501113519
Peeter,Tamm,M,1967-01-17,36701171005
Jaan,Saar,M,1977-01-22,37701223201
Mari,Tamm,F,1951-03-25,45103250776
Mari,Mets,F,2005-03-10,60503102984
Laura,Mets,F,1978-11-01,47811017549
Mati,Saar,M,1985-11-21,38511210628
Mati,Mets,M,1964-01-12,36401125081
Mati,Tamm,M,1952-03-28,35203288132
Laura,Mets,F,1969-03-17,46903170657
Mari,Saar,F,1989-05-21,48905219412
Jaan,Saar,M,1982-12-22,38212221639
Mari,Saar,F,1992-05-01,49205018592
Jaan,Tamm,M,1994-07-12,39407121422
Mati,Tamm,M,1978-12-13,37812130212
Laura,Saar,F,1950-11-27,45011270498
Jaan,Saar,M,1974-10-06,37410064030
Jaan,Mets,M,1981-04-19,38104194142
Mati,Saar,M,1950-09-23,35009230809
Mari,Tamm,F,1978-09-09,47809097978
Mari,Tamm,F,1974-02-17,47402177215
Mari,Mets,F,1989-06-28,48906288480
Mari,Mets,F,2003-08-09,60308092689
Mati,Saar,M,1964-11-26,36411267003
Peeter,Tamm,M,2004-04-28,50404286762
Laura,Tamm,F,1980-12-03,48012037829
Mati,Mets,M,2006-02-20,50602202910
Anna,Tamm,F,1954-10-04,45410042640
Anna,Tamm,F,1949-11-02,44911021593
Anna,Saar,F,1990-09-05,49009058960
Anna,Tamm,F,1986-10-29,48610290683
Jaan,Tamm,M,2001-09-20,50109202157
Peeter,Tamm,M,1977-10-14,37710141116
Jaan,Tamm,M,1969-05-21,36905216754
Jaan,Tamm,M,1973-07-11,37307114526
Jaan,Tamm,M,2003-07-22,50307220075
Laura,Mets,F,1999-06-02,49906029458
Mari,Tamm,F,1996-12-19,49612195696
Mati,Saar,M,1957-07-31,35707311101
Laura,Tamm,F,1972-03-06,47203060963
Mari,Mets,F,1983-07-19,48307195618
Mari,Saar,F,1950-01-10,45001105054
Anna,Tamm,F,1990-10-14,49010142141
Laura,Saar,F,1962-08-04,46208041738
Mati,Saar,M,1953-12-28,35312289142
Anna,Saar,F,2003-11-08,60311084983
Jaan,Tamm,M,1974-11-07,37411074401
Anna,Tamm,F,1950-12-23,45012239404
Jaan,Saar,M,1963-06-09,36306092110
Mati,Saar,M,2005-06-05,50506055843
Peeter,Tamm,M,1948-01-21,34801210418
Mari,Tamm,F,1982-05-19,48205193459
Anna,Tamm,F,1963-12-09,46312098600
Mari,Mets,F,1971-01-10,47101105987
Jaan,Tamm,M,1997-08-24,39708247776
Mari,Saar,F,2001-06-25,60106252842
Mati,Saar,M,1960-09-25,36009254748
Laura,Tamm,F,1952-07-04,45207044463
Jaan,Mets,M,1998-02-23,39802239649
Mari,Tamm,F,1963-11-14,46311146976
Laura,Saar,F,1950-11-18,45011181354
