first_name,last_name,gender,date_of_birth,id_code
Mari,Saar,M,1952-08-10,8625126
Jaan,Tamm,F,1948-01-21,6698434
Laura,Saar,F,2000-10-17,10245578
Anna,Saar,M,1948-01-21,4753259
Peeter,Saar,M,1982-12-19,665188
Peeter,Mets,F,2007-02-16,6916154
Peeter,Saar,M,1955-09-02,7772495
Laura,Mets,M,1948-01-26,12863824
Mari,Mets,F,1948-05-26,14236641
Laura,Mets,F,1949-07-11,13487815
Jaan,Mets,M,2006-12-21,7610719
Mari,Mets,F,2007-02-17,5770968
Peeter,Mets,M,1949-03-10,6039674
Anna,Saar,M,1987-03-01,4341069
Mari,Tamm,M,1950-11-06,11525007
Laura,Saar,F,1970-10-26,14200417
Jaan,Saar,F,2007-02-16,2398590
Laura,Mets,M,1986-07-12,10218759
Mati,Mets,M,1948-01-21,13611211
Jaan,Mets,F,1964-09-24,5171581
Peeter,Saar,M,1980-11-05,4983911
Laura,Tamm,M,1949-08-19,10301567
Anna,Tamm,F,2003-05-25,9608526
Jaan,Tamm,F,2006-11-29,14066268
Peeter,Mets,M,1970-07-17,14210543
Peeter,Tamm,M,1948-01-21,11633070
Peeter,Mets,F,1948-04-11,13074091
Peeter,Mets,M,1948-07-17,2890731
Anna,Saar,F,1994-03-23,980502
Anna,Mets,F,1948-03-29,15820302
Jaan,Tamm,M,1953-03-01,11731205
Laura,Saar,M,2005-08-06,584043
Peeter,Saar,M,1967-03-09,4824490
Jaan,Mets,M,1948-06-10,15664171
Mati,Tamm,M,1965-04-24,14516581
Anna,Mets,F,1973-08-24,10285504
Mari,Tamm,F,1950-05-11,11607974
Mati,Saar,M,1952-03-27,4054007
Mati,Saar,F,1966-06-27,7250131
Peeter,Tamm,M,2007-02-16,1568505
Mari,Mets,F,1948-10-16,15075986
Mati,Tamm,F,1948-09-21,8255133
Mati,Tamm,M,1953-02-25,1595723
Mati,Tamm,M,1963-06-10,12998381
Mari,Saar,M,1948-06-06,3883506
Jaan,Mets,F,1948-02-10,1017734
Laura,Mets,M,1948-01-21,8258732
Mari,Mets,F,1963-01-21,15812874
Laura,Mets,M,1953-02-24,9595914
Mari,Tamm,M,1994-11-15,16730289
Mari,Saar,M,1948-01-21,16541369
Anna,Tamm,M,1951-05-29,15408659
Laura,Saar,M,1948-01-21,3778611
Mari,Tamm,M,2007-02-17,1908915
Mari,Mets,F,1954-08-08,2517168
Mati,Mets,F,1977-05-18,11269957
Anna,Mets,M,1948-07-14,16585403
Peeter,Tamm,F,1957-09-17,9209255
Peeter,Tamm,F,1994-07-05,15066866
Jaan,Mets,M,1956-01-02,8482486
Laura,Mets,M,1948-01-21,13436464
Mari,Mets,M,1999-10-27,16355038
Laura,Tamm,M,2006-08-09,14130629
Laura,Mets,F,1955-04-16,7424336
Peeter,Saar,M,1948-01-21,10637829
Jaan,Mets,F,1976-04-04,16522473
Peeter,Tamm,M,1951-10-19,9935100
Laura,Saar,M,1992-05-19,8348751
Mari,Tamm,F,1948-01-21,3180878
Mati,Tamm,F,2001-08-07,1886283
Anna,Saar,F,1948-05-11,4620166
Mati,Saar,F,1948-02-28,5046339
Mati,Saar,F,1954-05-11,5637297
Laura,Mets,F,1951-01-25,15921467
Laura,Tamm,M,1961-08-19,6089022
Peeter,Mets,F,1951-07-16,16358178
Peeter,Tamm,M,1980-07-16,1421392
Jaan,Mets,M,1948-01-26,677112
Peeter,Saar,F,1999-08-02,9339944
Peeter,Saar,F,2007-02-16,8522242
Peeter,Saar,M,1964-05-03,13496013
Peeter,Mets,F,1949-12-08,3867794
Mati,Mets,M,1948-08-27,3535175
Mati,Tamm,M,1968-10-12,15665583
Mati,Mets,M,1950-01-05,4316580
Mari,Saar,F,1948-02-11,8137412
Anna,Mets,M,1991-04-09,3236760
Mari,Mets,M,1959-12-07,8018350
Anna,Tamm,F,1948-01-21,8431443
Peeter,Tamm,F,1955-07-08,13012129
Mari,Saar,M,1965-07-20,7036517
Anna,Mets,M,2007-02-16,12036191
Anna,Saar,F,1949-06-11,9932546
Mari,Saar,M,1999-04-18,14473459
Jaan,Saar,F,1950-12-13,9418371
Mati,Saar,F,1989-03-23,2823776
Anna,Tamm,F,2006-12-23,12185187
Mari,Saar,M,1949-03-17,16144037
Anna,Tamm,M,1948-01-21,6445595
Peeter,Tamm,M,2002-10-19,15782553
Peeter,Saar,M,1949-03-10,4163749
Laura,Mets,F,1948-01-21,9489317
Laura,Tamm,M,1948-02-18,1308762
Jaan,Mets,F,1948-01-21,15813328
Peeter,Mets,M,1994-06-21,8725021
Jaan,Tamm,M,1949-04-03,15751542
Laura,Mets,M,1963-08-24,9117546
Mari,Saar,F,1955-07-25,9407771
Peeter,Saar,M,1956-11-25,15742042
Mati,Tamm,F,1950-08-11,12267467
Anna,Tamm,F,1953-04-11,15325004
Jaan,Tamm,M,2007-02-16,12330745
Anna,Tamm,M,1969-10-21,13607568
Mari,Saar,M,1972-10-26,15527660
Peeter,Mets,M,2006-06-08,8100027
Anna,Saar,F,1999-02-08,2053891
Peeter,Saar,F,1948-01-21,4378044
Laura,Tamm,F,1955-09-12,4305989
Peeter,Mets,F,1990-07-26,7020185
Mati,Saar,M,1951-07-25,16471148
Jaan,Mets,F,1951-05-31,6721458
Peeter,Mets,M,1948-01-21,11299652
Mati,Tamm,F,1948-05-30,5351771
Mati,Tamm,F,1961-11-28,11548765
Mari,Saar,M,1986-02-26,13376634
Mati,Tamm,F,2007-01-30,8984667
Peeter,Tamm,M,1997-07-16,5497494
Mari,Tamm,F,1958-03-29,9519946
Mari,Saar,F,2006-11-05,11163105
Mari,Tamm,F,2007-02-16,10462496
Jaan,Saar,F,1948-01-21,8724
Laura,Saar,M,1954-02-23,7009561
Jaan,Tamm,M,1984-07-23,6947491
Peeter,Tamm,M,1973-01-19,3093159
Anna,Mets,M,1993-03-11,11395523
Jaan,Saar,M,1966-10-12,6452004
Anna,Saar,F,1964-05-29,7113776
Jaan,Tamm,F,1948-01-21,7744562
Laura,Tamm,F,2007-02-07,7456026
Anna,Tamm,M,2006-10-14,11594724
Mati,Saar,F,1952-06-30,8850282
Laura,Mets,F,2000-03-14,15622706
Peeter,Saar,M,1948-01-21,11350709
Laura,Mets,F,1948-01-21,12554696
Peeter,Saar,M,1950-01-11,4379170
Anna,Tamm,M,2007-02-17,4649118
Anna,Tamm,M,1996-08-12,6858598
Mati,Saar,M,1948-05-28,9958382
Laura,Mets,M,1977-01-31,13547808
Anna,Mets,M,1982-06-13,12717563
Anna,Saar,M,2007-02-16,16473745
Jaan,Tamm,M,1949-03-10,6575500
Jaan,Saar,F,2007-02-16,9116440
Mari,Tamm,M,1991-04-20,9517603
Laura,Mets,M,1980-10-24,9596815
Jaan,Tamm,M,1951-01-20,12169958
Laura,Tamm,M,1964-02-19,8544381
Jaan,Mets,M,1995-08-10,1653810
Jaan,Saar,F,1961-11-28,12953965
Anna,Mets,M,1967-12-12,3173483
Peeter,Mets,M,1994-01-09,225311
Mati,Mets,M,1978-11-25,9261521
Mati,Tamm,F,1957-09-30,12926372
Jaan,Saar,M,1965-12-18,13171022
Mari,Mets,F,1962-06-17,3570532
Mati,Tamm,F,1989-11-25,13939811
Jaan,Saar,M,1948-12-23,3355972
Jaan,Tamm,M,1956-10-26,10049933
Jaan,Mets,M,1995-01-09,8063048
Mari,Tamm,M,1948-04-03,6089338
Jaan,Tamm,F,2006-12-20,3369108
Jaan,Tamm,F,1948-01-21,7532303
Peeter,Tamm,F,1964-02-07,362528
Mari,Tamm,F,1969-07-25,12492299
Anna,Mets,F,2007-02-16,5048823
Jaan,Mets,F,1950-05-27,5765053
Mati,Tamm,F,1948-01-21,8751899
Anna,Tamm,F,1998-01-15,11797912
Peeter,Saar,F,1954-06-08,10080955
Mati,Tamm,M,1948-01-25,9216771
Mati,Saar,F,1948-01-26,13733224
Peeter,Mets,F,1948-01-21,9784012
Laura,Mets,F,1949-11-25,4911328
Peeter,Saar,F,1950-02-01,15182569
Laura,Tamm,F,1967-03-17,1289884
Peeter,Mets,F,2003-01-15,7802431
Peeter,Tamm,M,1948-01-21,626920
Jaan,Tamm,M,1964-02-06,10769763
Mati,Tamm,F,1948-01-21,629206
Laura,Mets,F,1948-01-21,14024673
Mari,Tamm,F,1948-01-21,8789037
Jaan,Mets,M,1953-01-26,15072081
Laura,Mets,F,1948-12-06,11217435
Mati,Mets,F,1951-02-01,9336877
Anna,Mets,F,1998-09-28,5873017
Laura,Mets,F,1951-02-04,4949064
Peeter,Mets,M,1948-03-13,16458209
Laura,Saar,M,1949-08-30,15751318
Mari,Tamm,F,2006-04-17,10712503
Jaan,Tamm,F,2006-10-08,103110
Mati,Tamm,F,1948-03-13,3414544
Mati,Mets,F,1948-01-21,7625297
Jaan,Saar,F,2007-02-16,2261264
Jaan,Mets,M,1948-04-10,7226624
Mati,Mets,F,1998-11-13,11675529
Mari,Mets,F,1987-12-16,411794
Jaan,Tamm,M,1950-09-24,11579496
Anna,Tamm,F,1949-11-17,7278614
Peeter,Mets,F,1948-02-11,9935495
Anna,Mets,F,1985-12-23,2448667
Mari,Mets,M,2005-08-24,8747618
Mati,Tamm,F,1954-08-27,13778350
Peeter,Mets,F,1977-05-25,14341903
Laura,Tamm,F,1989-10-31,12752414
Laura,Mets,M,1955-11-14,3857718
Mati,Mets,F,2007-02-16,5716762
Jaan,Mets,M,1948-01-21,14323584
Mati,Mets,F,1951-11-12,8983767
Peeter,Saar,F,1982-12-29,13962873
Jaan,Saar,F,1996-09-18,7981161
Mati,Mets,F,1951-05-02,7825057
Jaan,Mets,F,1951-09-18,13956148
Jaan,Tamm,M,2007-02-10,9375970
Laura,Saar,M,1966-07-27,10170863
Peeter,Tamm,M,1979-01-12,8564597
Mari,Saar,F,1948-10-07,13927550
Peeter,Tamm,F,1954-07-27,13757106
Mati,Saar,M,1957-12-27,9324882
Mari,Saar,M,1995-12-05,8885443
Laura,Saar,F,1948-01-21,4904068
Anna,Saar,M,1948-03-17,5791130
Mari,Mets,M,1982-10-05,13357127
Jaan,Tamm,F,1950-09-15,10202844
Mari,Mets,F,1993-03-01,12445694
Peeter,Mets,F,2007-02-16,7208815
Peeter,Saar,M,1960-05-08,7089803
Anna,Saar,F,1948-11-01,15770249
Jaan,Mets,M,1948-11-19,16123130
Mari,Saar,F,1949-08-21,15363150
Laura,Mets,M,2006-07-02,13822057
Anna,Mets,M,1949-01-08,67617
Peeter,Saar,M,1955-06-14,14164674
Mari,Tamm,M,1960-08-09,8311830
Jaan,Mets,F,2005-01-28,1761079
Mari,Saar,M,1996-01-01,8015085
Mati,Saar,M,1952-05-27,15550942
Mati,Saar,M,1948-02-22,460285
Anna,Saar,F,1985-08-07,12058336
Mari,Mets,M,1948-01-21,10442027
Jaan,Tamm,M,1987-05-06,6741903
Jaan,Mets,F,1948-01-21,13192116
Laura,Saar,M,1957-02-20,14110159
Mati,Saar,M,1949-02-07,11195041
Mati,Saar,F,1958-08-07,13024172
Peeter,Mets,M,2006-12-06,11616059
Mati,Mets,F,2004-10-16,16494429
Jaan,Saar,F,1948-04-26,9752264
Laura,Mets,M,1965-06-29,13483622
Mati,Tamm,M,1968-06-21,6501629
Peeter,Tamm,M,1952-06-22,4834782
Mati,Tamm,F,1950-04-17,16298061
Mari,Tamm,M,1968-09-18,6229081
Laura,Tamm,M,1948-01-21,15850946
Mati,Tamm,F,1951-01-21,12763196
Peeter,Tamm,F,1952-06-21,12674644
Peeter,Mets,F,1952-12-03,2091592
Mati,Mets,F,1948-01-21,713008
Laura,Tamm,F,1952-01-15,15973340
Mari,Mets,F,1959-04-13,3775317
Anna,Tamm,F,1951-08-22,14733854
Mati,Tamm,F,1953-05-11,5497971
Mati,Tamm,F,2007-01-28,15332485
Anna,Saar,M,1952-07-14,946554
Laura,Tamm,F,1963-06-08,10010863
Jaan,Mets,F,1995-09-09,1291158
Jaan,Mets,F,1955-08-07,8047724
Jaan,Mets,F,1959-07-25,8072128
Laura,Saar,M,1948-02-19,504213
Peeter,Mets,F,2002-08-30,8268610
Laura,Saar,M,1948-01-21,9754934
Peeter,Mets,F,1955-07-26,11207428
Jaan,Mets,M,1948-07-31,8661938
Jaan,Tamm,F,1949-01-17,1284237
Peeter,Saar,F,1972-12-11,15911806
Anna,Mets,F,1949-06-09,3084735
Laura,Saar,M,2007-01-01,5118146
Jaan,Mets,F,1953-04-02,13654646
Peeter,Mets,M,1949-12-12,12895995
Mari,Saar,M,1972-06-10,2042593
Mari,Tamm,M,1994-06-10,13459863
Mati,Tamm,F,1948-01-21,8433295
Mari,Tamm,M,1987-03-21,15617074
Peeter,Tamm,M,1998-12-04,15506732
Mati,Tamm,F,1951-08-29,12905464
Jaan,Mets,M,1956-06-17,1611947
Anna,Saar,F,2007-02-16,7880659
Laura,Saar,F,1988-09-25,14216711
Peeter,Mets,M,2007-01-16,11496532
Jaan,Saar,F,1948-04-09,14623258
Mari,Saar,F,2007-02-16,6940833
Mari,Saar,F,1948-03-18,3505377
Jaan,Tamm,F,1961-06-26,13149489
