first_name,last_name,gender,date_of_birth,id_code
Jaan,Saar,M,1993-03-28,39303285686
Mati,Mets,M,1958-06-10,35806100410
Jaan,Tamm,M,2002-09-04,50209045014
Jaan,Saar,M,1987-02-01,38702012214
Peeter,Tamm,M,1956-04-11,35604114564
Anna,Tamm,F,1981-03-02,48103023969
Mati,Tamm,M,2002-02-10,50202101808
Anna,Saar,F,1951-10-31,45110317232
Peeter,Saar,M,1955-05-06,35505068800
Peeter,Mets,M,1948-10-01,34810014731
Peeter,Mets,M,1986-07-04,38607040851
Anna,Tamm,F,1965-12-25,46512259196
Mati,Mets,M,1984-08-13,38408134478
Anna,Tamm,F,1964-03-07,46403078942
Mari,Mets,F,1987-11-15,48711156476
Mari,Tamm,F,1981-10-31,48110316306
Peeter,Tamm,M,1955-11-30,35511308685
Mati,Tamm,M,1965-07-14,36507148467
Mati,Tamm,M,1961-07-03,36107032384
Laura,Mets,F,1948-01-08,44801080794
Anna,Saar,F,1955-06-26,45506261968
Jaan,Tamm,M,2000-08-11,50008113822
Peeter,Tamm,M,1988-08-31,38808310227
Mari,Mets,F,1999-07-02,49907028226
Mati,Saar,M,1963-01-14,36301149777
Mari,Saar,F,1973-04-25,47304257432
Mati,Saar,M,1951-12-17,35112173849
Jaan,Tamm,M,1986-04-06,38604066168
Peeter,Mets,M,1961-12-21,36112212535
Mari,Saar,F,1948-07-08,44807080412
Anna,Saar,F,1964-02-25,46402251201
Mari,Tamm,F,2006-01-02,60601022778
Mati,Mets,M,1952-07-28,35207285629
Mari,Saar,F,1971-06-19,47106191737
Laura,Mets,F,1990-07-22,49007225035
Mati,Tamm,M,1965-02-28,36502287969
Peeter,Tamm,M,1993-05-12,39305120554
Laura,Saar,F,1958-08-20,45808207722
Peeter,Tamm,M,1968-02-09,36802091032
Mari,Tamm,F,1955-12-30,45512308004
Peeter,Saar,M,1968-04-21,36804216306
Mari,Tamm,F,1979-08-02,47908022419
Mari,Tamm,F,1946-02-26,44602263302
Mati,Saar,M,2006-08-27,50608277418
Laura,Tamm,F,2002-06-17,60206172014
Mati,Saar,M,1960-04-28,36004283595
Laura,Mets,F,1963-02-25,46302257529
Mari,Tamm,F,1972-06-12,47206121615
Laura,Saar,F,1953-02-05,45302057189
Anna,Mets,F,1967-08-24,46708245559
Mari,Tamm,F,1989-12-25,48912255038
Mati,Mets,M,1986-04-09,38604090196
Mari,Tamm,F,1988-11-08,48811080490
Mati,Mets,M,1993-06-19,39306197434
Anna,Tamm,F,1967-09-17,46709171754
Mari,Saar,F,1998-08-08,49808084630
Mati,Saar,M,1956-12-27,35612278670
Jaan,Tamm,M,1975-11-14,37511142679
Peeter,Tamm,M,1965-09-15,36509151221
Laura,Saar,F,1963-07-03,46307038449
Peeter,Saar,M,1993-09-10,39309102205
Mati,Mets,M,1957-02-25,35702251011
Mati,Tamm,M,1946-06-08,34606084908
Jaan,Tamm,M,1978-09-18,37809180844
Jaan,Tamm,M,1972-07-24,37207241040
Anna,Saar,F,1948-08-17,44808178695
Laura,Mets,F,1979-10-08,47910082232
Mari,Mets,F,2007-06-29,60706296593
Laura,Saar,F,1983-06-19,48306191233
Mari,Tamm,F,1978-02-28,47802282157
Jaan,Tamm,M,1968-08-25,36808257420
Jaan,Tamm,M,1979-07-01,37907012091
Peeter,Tamm,M,1954-10-07,35410073352
Anna,Tamm,F,1989-08-23,48908235050
Laura,Tamm,F,1990-04-19,49004198054
Anna,Mets,F,1957-10-31,45710317795
Laura,Tamm,F,1990-03-15,49003154785
Laura,Mets,F,1973-04-15,47304156930
Jaan,Mets,M,1994-09-06,39409063633
Jaan,Tamm,M,1987-05-31,38705319640
Mati,Tamm,M,1957-05-26,35705268720
Anna,Saar,F,2001-04-14,60104141408
Mati,Saar,M,2000-06-30,50006305964
Mati,Tamm,M,1974-07-22,37407222890
Peeter,Mets,M,1948-08-01,34808012054
Laura,Saar,F,1994-04-03,49404036983
Jaan,Saar,M,1990-05-03,39005033820
Mari,Saar,F,1951-03-11,45103112638
Peeter,Mets,M,1955-10-31,35510314459
Anna,Saar,F,1975-06-13,47506132018
Anna,Mets,F,1960-12-15,46012150757
Laura,Tamm,F,1960-06-05,46006055436
Jaan,Tamm,M,1970-05-30,37005309589
Mati,Tamm,M,1960-07-07,36007071515
Laura,Tamm,F,1975-10-11,47510115573
Anna,Mets,F,1960-03-19,46003199182
Mati,Mets,M,1984-05-11,38405117974
Laura,Saar,F,1994-08-07,49408075271
Laura,Mets,F,1991-05-30,49105301315
Anna,Tamm,F,1974-07-09,47407094747
